Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Xu, Xinhang; Xie, Jinlin; Zhang, Lifu; Qu, ChengMing; Zhuang, Ge; Liu, Wandong; ",Improvement of transmittance using groove structured surface for microwave imaging diagnostics in tokamak plasmas,"2020 45th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)",,,1-2,2020,IEEE
"Xu, Xinhang; Xie, Jinlin; Liu, Jian; Liu, Wandong; ",Analysis of the Anomalous Doppler Effect from Quantum Theory to Classical Dynamics Simulations,Chinese Physics B,,,,2025,
"Yu, Guanying; Kramer, Gerrit; Zhu, Yilun; Austin, Max; Denk, Severin; Yoo, Min-Gu; Li, Xiaoliang; Zhao, Bingzhe; Xie, Ruifeng; Li, Zeyu; ",Modelling of the electron cyclotron emission burst from a laboratory tokamak plasma with loss-cone maser instability,Journal of Plasma Physics,90,6,985900601,2024,Cambridge University Press
"Luo, Chen; Tang, Xiaopin; Domier, Calvin; Li, Xiaoliang; Ti, Ang; Sun, Pengjun; Qiu, Shasha; Xu, Xinhang; Liu, Xianzi; Zhu, Yilun; ",Design of a 170GHz quasi-optical notch filter for microwave-based diagnostics protection on the burning plasma device,Fusion Engineering and Design,214,,114925,2025,Elsevier
"Zihan, LI; Shangchuan, YANG; Xinhang, XU; Chengming, QU; Chengpu, LI; Jinlin, XIE; ",A synthetic diagnostics platform for microwave imaging diagnostics in tokamaks,Plasma Science and Technology,26,3,034006,2024,IOP Publishing
"Han, Dongqi; Xie, Jinlin; Hussain, Azam; Gao, Bingxi; Qu, Chengming; Liao, Wang; Xu, Xinhang; Gao, Feixue; Li, Hong; Lan, Tao; ",In situ relative self-dependent calibration of electron cyclotron emission imaging via shape matching,Review of Scientific Instruments,89,10,,2018,AIP Publishing
"Gao, BingXi; Xie, JinLin; Zhao, ZhenLing; Qu, Chengming; Liao, Wang; Xu, Xinhang; Mao, WenZhe; Zhuang, Ge; Liu, WanDong; ",Diagnostic capacity of electron cyclotron emission imaging system with continuous large observation area on EAST tokamak,Review of Scientific Instruments,89,9,,2018,AIP Publishing
"Sun, Pengjun; Li, Xiaoliang; Ren, Yang; Han, Xiaofeng; Liu, Xianzi; Qian, Jing; Zhu, Yilun; Domier, Calvin; Yao, Ke; Xu, Xinhang; ",Development and preliminary results of 270 GHz microwave forward scattering diagnostic system on the experimental advanced superconducting tokamak (EAST),Plasma Physics and Controlled Fusion,67,8,085029,2025,IOP Publishing
"Liu, Xianzi; Ren, Yang; Sun, PengJun; Domier, Calvin; Dannenberg, Jon; Xu, Xinhang; Zhu, Yilun; Luhmann, Neville; ",High-wavenumber Collective Scattering Diagnostic System for EAST and NSTX-U Tokamaks and Synthetic Diagnostic System Development,Bulletin of the American Physical Society,,,,2024,American Physical Society
"Li, Xiaoliang; Zhu, Yilun; Yu, Jo-Han; Chang, Yu-Ting; Chen, Ying; Domier, Calvin; Qiu, Shasha; Xu, Xinhang; Liu, Xianzi; Dannenberg, Jon; ",System-on-chip technology application on microwave imaging reflectometer,Plasma Physics and Controlled Fusion,67,5,055021,2025,IOP Publishing
"Qu, CM; Xie, JL; Zhu, YL; Xu, XH; Zhang, LF; Li, ZH; Zhuang, G; Liu, WD; ",The co-located arrangement of ECEI and MIR microwave imaging diagnostics on EAST tokamak,Journal of Instrumentation,18,10,C10018,2023,IOP Publishing
"Qu, CM; Xie, JL; Ding, WX; Zhou, C; Xu, JC; Xu, XH; Zhang, LF; Li, ZH; Zhang, YJ; Qiang, ZW; ",Experimental observation of micro-tearing modes in the tokamak pedestal,Radiation Effects and Defects in Solids,179,3-4,514-524,2024,Taylor & Francis
"Xu, Xinhang; Dannenberg, Jon; Domier, Calvin; Zhu, Yilun; Li, Xiaoliang; Luhmann, Neville; Ren, Yang; ",Optimization and active stabilization of a far-infrared laser for NSTX-U high poloidal wavenumber scattering diagnostics,Review of Scientific Instruments,96,12,,2025,AIP Publishing
